mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,currency
ACERINOX,2021,Metals and Cement,ESP,Spain,ARE,United Arab Emirates,NA,-76000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,LUX,Luxembourg,NA,0,506000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,AUS,Australia,NA,-1165702000,117455000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,ESP,Spain,NA,546727000,-154410000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,USA,United States of America,NA,65504000,49474000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,DEU,Germany,NA,-74849000,3533000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,MEX,Mexico,NA,49638000,27842000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,IDN,Indonesia,NA,252258000,73399000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,PER,Peru,NA,58092000,23141000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,BRA,Brazil,NA,157964000,22475000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,GBR,United Kingdom,NA,16738000,-2420000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,CAN,Canada,NA,90282000,-2242000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,CHL,Chile,NA,-21959000,2509000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,PRT,Portugal,NA,10382000,3145000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,SGP,Singapore,NA,-24528000,18100000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,ARG,Argentina,NA,7917000,596000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,IND,India,NA,6205000,1103000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,NZL,New Zealand,NA,30286000,13000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,PHL,Philippines,NA,10134000,2024000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,HKG,Hong Kong,NA,95268000,8376000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,MNG,Mongolia,NA,25609000,3811000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,BWA,Botswana,NA,34246000,2321000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,PAN,Panama,NA,10118000,661000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,SAU,Saudi Arabia,NA,28693000,1093000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,LUX,Luxembourg,NA,33354000,23000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,Construction,ESP,Spain,OTHER,Other,NA,-111020000,6141000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,ESP,Spain,NA,666350000,91936000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,USA,United States of America,NA,31342000,55959000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,AUS,Australia,NA,552326000,6865000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,DEU,Germany,NA,-30498000,4771000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,IDN,Indonesia,NA,-58024000,33217000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,BRA,Brazil,NA,110981000,41093000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,GBR,United Kingdom,NA,14627000,1580000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,CHL,Chile,NA,-73946000,11000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,MEX,Mexico,NA,43264000,39018000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,SGP,Singapore,NA,37190000,35996000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,PER,Peru,NA,47213000,13109000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,POL,Poland,NA,-24525000,336000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,CAN,Canada,NA,158026000,5725000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,PRT,Portugal,NA,13686000,366000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,NZL,New Zealand,NA,-76442000,316000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,ARG,Argentina,NA,-954000,1877000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,MNG,Mongolia,NA,-13442000,12054000,NA,NA,NA,NA,NA,NA,NA,EUR
