company_name,Inactive,listed,Branch,OwnData,country_iso,nace_code,bvd_id,nace_section,NACE Rev. 2 main section.1,bvd_sector,revenue_eur_2025,revenue_eur_2024,revenue_eur_2023,revenue_eur_2022,revenue_eur_2021,revenue_eur_2020,employees_2024,employees_2025,employees_2023,employees_2022,employees_2021,employees_2020,consolidation_code,website,isin,legal_form,date_incorporation,guo_name,guo_bvd_id,guo_country_iso,_source,total_assets_eur_2025,total_assets_eur_2024,total_assets_eur_2023,total_assets_eur_2022,total_assets_eur_2021,total_assets_eur_2020,orbis_sources,regime_classification
NETCO INVEST,No,No,No,No,BE,6492.0,BE0690991178,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,83499.0,68357.363,,,,343.0,,311.0,,,,C2,,,Public limited companies,2018-02-27 00:00:00,DOMO CHEMICALS HOLDING,BE0424251076,BE,bank,,91672.0,80905.118,,,,bank,CRD_IV
S. LUNDBERG FOERVALTNING AB,No,No,No,No,SE,6499.0,SE5568308505,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,1908.20136457633,840.935746855568,,,,8.0,,5.0,,,,C2,,,Private limited companies,2010-12-09 00:00:00,S. LUNDBERG FOERVALTNING AB,SE5568308505,SE,bank,,1559.47856878163,1453.22997728497,,,,bank,CRD_IV
INVENTIONMED SA,No,Yes,No,No,PL,6619.0,PL200715224,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,192.924465006624,364.520601270888,156.124948434079,,,,,7.0,6.0,,,C2,www.inventionmed.pl,,Public limited companies,2009,,,,bank,,8892.59739006811,9870.5739343503,6467.36416678358,,,bank,CRD_IV
SANDI ASSETS DESIGNATED ACTIVITY COMPANY,No,No,No,No,IE,6492.0,IE630067,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,193.523,383.105,941.296,,,,,,,C1,,,Private limited companies,2018-07-10 00:00:00,CVI CVF IV CAYMAN FINANCE CORPORATION,KYLEI1809080,KY,bank,,,,19106.93,22384.786,17836.787,bank,CRD_IV
ARDAGH GROUP S.A.,No,No,No,No,LU,6420.0,LULB160804,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,8788462.0,8470270.0,8452336.0,,,20018.0,,,,,,C2,www.ardaghgroup.com,,Public limited companies,2011-05-06 00:00:00,ARD HOLDINGS SA,LULB53248,LU,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
WERKNEMERSBELANGEN TEBULO B.V.,No,No,No,No,NL,6430.0,NL37047268,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,,,112.0,103.0,103.0,97.0,C2,www.tebulo.com,,Private limited companies,1983-01-01 00:00:00,,,,bank,,,13495.476,13157.591,11723.641,11568.844,bank,CRD_IV
PB HOLDING B.V.,No,No,No,No,NL,6612.0,NL34187601,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,14.0,,,,13.0,15.0,C2,,,Private limited companies,2011-04-28 00:00:00,PB HOLDING B.V.,NL34187601,NL,bank,,93842.26,,,105176.798,92405.276,bank,CRD_IV
BOBA CARE GROUP B.V.,No,No,No,No,NL,6430.0,NL67547184,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,,,,,277.0,267.0,C2,boba.nl,,Private limited companies,2016-12-23 00:00:00,BOBA HOLDING B.V.,NL24384472,NL,bank,,,,3566.273,3890.398,3902.408,bank,CRD_IV
BUN PROJECTONTWIKKELING B.V.,No,No,No,No,NL,6430.0,NL39041211,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,,,,,,,C2,www.bun.nl,,Private limited companies,1985-12-16 00:00:00,STICHTING ADMINISTRATIEKANTOOR BUN,NL87001683,NL,bank,,106798.176,80831.575,81817.393,77778.974,56451.421,bank,CRD_IV
GOLDSTORY,No,No,No,No,FR,6420.0,FR892419250,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,1090000.0,1012000.0,,,,6552.0,,6024.0,,,,C2,www.thomgroup.com,,Private limited companies,2020-12-24 00:00:00,ALTASTORY,FR892417783,FR,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
AART BLOM BEHEER B.V.,No,No,No,No,NL,6619.0,NL30255561,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,,,,,14.0,,C2,fruitpartnersblom.nl,,Private limited companies,2009-02-26 00:00:00,MR AART MARIUS BLOM,WW*110298666271,n.a.,bank,,7472.044,7657.356,11272.576,11815.839,,bank,CRD_IV
BOYSEN HOLDING SE & CO. KG,No,No,No,No,DE,6420.0,DE7230494841,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,2266866.42442,2993627.61187,,,,3467.0,,3477.0,,,,C1,www.boysen-online.de,,Partnerships,2023-11-13 00:00:00,FRIEDRICH UND ELISABETH BOYSEN-STIFTUNG,DE*850194459,DE,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
ALVA GLEN INVESTMENTS LIMITED,No,No,No,No,IE,6619.0,IE611383,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,15139.358,28316.091,,,,,99.0,170.0,C1,,,Private limited companies,2017-09-12 00:00:00,TETRARCH CAPITAL LIMITED,IE503445,IE,bank,,,,,77210.594,80428.063,bank,CRD_IV
ULF LINDVALL INVEST AB,No,No,No,No,SE,6499.0,SE5568074198,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,16767.3180912942,16272.0300972844,,,,19.0,,19.0,,,,C2,,,Private limited companies,2010-05-04 00:00:00,ULF LINDVALL INVEST AB,SE5568074198,SE,bank,,9986.50979398577,10413.5080567643,,,,bank,CRD_IV
COCON VASTGOED B.V.,No,No,No,No,NL,6430.0,NL33033550,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,,,,,,,C2,www.cocon-vastgoed.nl,,Private limited companies,1928-07-31 00:00:00,STICHTING RUISCHEND LOOF,NL41209545,NL,bank,,498038.589,483413.017,459397.071,407056.958,379219.76,bank,CRD_IV
BROSE FAMILIEN SE & CO. KG,No,No,No,No,DE,6420.0,DE8090083167,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,,8275433.30635,7853534.50092,,,,,27434.0,26456.0,,,C2,www.brose.de,,Partnerships,2022-01-13 00:00:00,BROSE FAMILIEN SE & CO. KG,DE8090083167,DE,large_mne,,,,,,,large_mne,CRD_IV
ROPARUDDEN HOLDING AB,No,No,No,No,SE,6499.0,SE5593664831,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,16642.7867025056,20287.6312196339,,,,69.0,,84.0,,,,C2,,,Private limited companies,2022-02-18 00:00:00,ROPARUDDEN HOLDING AB,SE5593664831,SE,bank,,9788.5860450212,10965.2397727914,,,,bank,CRD_IV
LUOTSI SUB-FUND 1 KY,No,No,No,No,FI,6499.0,FI29493355,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,1763.918,1618.327,,,,0.0,,,,,,C2,,,Partnerships,2018-11-26 00:00:00,LUOTSI SUB-FUND 1 KY,FI29493355,FI,bank,,25293.298,25288.03,,,,bank,CRD_IV
GROSSCHAEDL BETEILIGUNGS UND LIEGENSCHAFTS GMBH,No,No,No,No,AT,6619.0,AT9030175456,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,89875.90446,100395.43226,,,,,,,,,,C2,www.grosschaedl.at,,Private limited companies,2008-07-30 00:00:00,MRS CLAUDIA GROSSSCHAEDL-KRONHEIM,AT*770299802,AT,bank,,47832.46849,49826.83674,,,,bank,CRD_IV
BIP JAGUAR (LUX) S.A R.L.,No,No,No,No,LU,6420.0,LULB244387,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,3867849.0,3917539.0,,,,17430.0,,16932.0,,,,C2,,,Private limited companies,2020-05-15 00:00:00,BIP JAGUAR HOLDCO (CYM) L.P.,KY*110317734937,KY,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
PAX LUX EQUITYCO S.A.,No,No,No,No,LU,6420.0,LULB224070,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,2094600.0,2094600.0,1698400.0,871200.0,,,,,,,,C2,,,Public limited companies,2018-04-27 00:00:00,PAI EUROPE VII-1 SCSP,LULB217260,LU,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
BAIN PROPULSION BIDCO SOCIEDAD LIMITADA.,No,No,No,No,ES,6420.0,ESB16790347,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,1625305.0,1315000.0,,,,5294.0,,5007.0,,,,C2,,,Private limited companies,2021-08-05 00:00:00,"BAIN CAPITAL EUROPE FUND V, SCSP",LULB220252,LU,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
WISDOM PROPERTY NL I B.V.,No,No,No,No,NL,6492.0,NL67008151,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,,,,,,,C2,,,Private limited companies,2016-10-06 00:00:00,WISDOM EXPRESS DEVELOPMENT LIMITED,HK0023469849,HK,bank,,68780.15,233904.0,478535.162,585484.241,621491.824,bank,CRD_IV
INTERMEDIATE DUTCH HOLDINGS B.V.,No,No,No,No,NL,6420.0,NL81864949,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,3849746.623749,3016650.229874,,,,39000.0,,40000.0,,,,C1,,,Private limited companies,2021-02-11 00:00:00,AIC PARENT INC,US356315321L,US,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
YESSS GROUP HOLDING S.A.,No,No,No,No,LU,6420.0,LULB107973,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,1103275.0,1133481.0,1152180.0,,,,,,,,,C2,www.yesss-fr.com,,Public limited companies,2005-05-12 00:00:00,YESSS GROUP HOLDING S.A.,LULB107973,LU,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
PROWARENESS WEON GROEP B.V.,No,No,No,No,NL,6630.0,NL50563440,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,106.0,,125.0,,,,C2,www.prowareness.nl,,Private limited companies,2010-07-21 00:00:00,EMAGINE HOLDING III APS,DK42019852,DK,bank,,5207.978,5287.589,,,,bank,CRD_IV
